,year,countyansi,pop,wheatprice,wheatprice_l1,wheatprice_l2,precipitation,maximum_temperature,palmer_modified_drought_index_pm,average_temperature,palmer_zindex,minimum_temperature,palmer_hydrological_drought_inde,palmer_drought_severity_index_pd,heating_degree_days,cooling_degree_days,precipitation_l1,precipitation_l2,allindustrytotal,privateindustries,agricultureforestryfishingandhun,miningquarryingandoilandgasextra,utilities,construction,manufacturing,durablegoodsmanufacturing,nondurablegoodsmanufacturing,wholesaletrade,retailtrade,transportationandwarehousing,information,financeinsurancerealestaterental,financeandinsurance,realestateandrentalandleasing,professionalandbusinessservices,professionalscientificandtechnic,managementofcompaniesandenterpri,administrativeandsupportandwaste,educationalserviceshealthcareand,educationalservices,healthcareandsocialassistance,artsentertainmentrecreationaccom,artsentertainmentandrecreation,accommodationandfoodservices,otherservicesexceptgovernmentand,governmentandgovernmententerpris,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county23,county24,county25,county26,year1,year2,year3,year4,logwheatprod,county
18,2022,15,10099,9.1499996,7.0999999,5.4299998,7.54,64.900002,-1.38,51.099998,0.89999998,37.299999,-1.9400001,0.30000001,6054,1032,9.6499996,23.200001,1387886,1349460,7193,214884,1336820,42920,4429,2769,1273,4369,25886,7302,41165,85557,4847,78640,37624,10217,12258,6379,6136,33,8707,14305,292,13641,19416,70431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5656023,emery
19,2012,17,5064,9.5900002,8.2600002,7.4299998,10.57,63.799999,-2.6600001,50.900002,-0.039999999,37.900002,-2.7,-2.7,5724,603,9.9899998,7.4499998,196246,155493,1866,4031,2796,5298,2195,3273,820,1483,6988,1850,45024,36142,2488,33446,4260,1312,14370,433,11304,356,10949,44152,3305,40847,4100,40754,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.7874918,garfield
20,2007,19,8838,8.3000002,4.8499999,3.8,11.28,66.0,0.83999997,52.599998,2.51,39.099998,0.83999997,0.83999997,5631,1112,21.84,17.030001,365020,310425,4993,43941,1984,25595,3321,1467,3638,7001,38005,10046,6920,71106,8721,62385,14975,10331,11127,4757,16322,1771,14550,59482,8783,50698,10323,54595,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.1886892,grand
21,2012,19,9343,9.5900002,8.2600002,7.4299998,7.1100001,67.099998,-3.46,53.5,0.67000002,39.900002,-3.77,-3.77,5298,1140,14.48,9.25,438796,370243,1597,61391,2898,25877,3857,1850,4834,5665,41829,11449,4226,82035,6299,75736,20872,14141,11675,6639,20737,1516,19221,76004,13580,62424,11805,68553,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.1049795,grand
22,2012,21,46661,9.5900002,8.2600002,7.4299998,14.58,65.0,-0.22,50.599998,0.43000001,36.200001,-1.2,-1.2,5746,535,7.0799999,6.8299999,1189465,916323,29005,7353,9604,32737,155652,54717,100935,25519,98487,41493,9539,258118,64960,193158,64255,18344,17876,28036,77371,4601,72770,50921,8380,42541,56269,273142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.3056507,iron
23,2017,21,50944,5.1999998,4.3000002,5.1799998,14.02,65.0,-2.1500001,50.900002,-2.1400001,36.799999,-2.1500001,-2.1500001,5726,615,10.38,32.060001,1554096,1234832,24954,21034,63512,91471,210815,63268,147546,35463,133147,26724,12503,292451,83567,208884,76795,32190,17151,27455,114359,7883,106476,73933,11860,62073,57670,319264,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.800799,iron
24,2022,21,62429,9.1499996,7.0999999,5.4299998,12.89,64.400002,0.34999999,50.099998,0.69999999,35.799999,-1.45,1.25,6074,662,8.5299997,7.23,2158032,1771808,68589,11032,44207,126633,273073,99263,192419,47914,168612,42113,19401,404808,92684,318001,153423,54155,15411,55691,144955,14161,140860,97319,18714,79556,70637,372018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1712875,iron
25,2002,23,8482,4.6500001,3.3,3.25,7.46,63.700001,-2.21,49.799999,-1.13,35.799999,-2.95,-2.95,6377,869,9.75,9.7799997,164528,138758,1595,3319,0,18371,25206,35574,13031,2924,12955,14176,17,26775,4305,22471,10685,7950,10485,1621,8871,5,8866,7188,119,4239,6675,25770,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.476925,juab
26,2007,23,9607,8.3000002,4.8499999,3.8,9.4200001,64.900002,-2.1800001,50.799999,1.88,36.700001,-2.96,-2.96,6186,1030,11.84,10.72,353345,316927,8788,21353,72594,39249,46078,44863,17314,2731,16323,16467,205,41480,5422,36058,22139,8377,8718,2262,14830,10,10575,7242,55,7188,7841,36419,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.649753,juab
27,2012,23,10300,9.5900002,8.2600002,7.4299998,10.47,66.300003,-0.51999998,52.400002,2.97,38.5,-1.79,-1.79,5531,968,13.01,20.950001,352798,312616,2976,17349,70493,17597,68193,48227,19966,3878,12587,19911,251,35659,3916,31743,28387,11554,14370,2463,22969,17,14663,6378,209,7060,9423,40181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.826853,juab
28,2017,23,11308,5.1999998,4.3000002,5.1799998,10.92,64.800003,-2.0999999,51.599998,-2.22,38.400002,-2.0999999,-2.0999999,5813,941,26.629999,38.189999,412889,364472,10485,13566,52564,24789,91128,59009,32119,8135,13712,24077,307,36831,6138,45226,28796,12623,12700,3472,27285,30,20330,8943,277,9111,11323,48416,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.661036,juab
29,2022,23,12567,9.1499996,7.0999999,5.4299998,9.29,64.900002,0.23,50.900002,2.79,36.900002,-1.53,1.37,6156,1070,10.03,10.76,580218,530912,9461,26664,132567,43023,106570,89983,40615,6643,22576,29114,377,59216,7254,56762,55693,24230,12707,6148,37314,53,28188,13431,367,11757,13607,55120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.564679,juab
30,2002,27,12223,4.6500001,3.3,3.25,6.5799999,65.800003,-1.97,51.0,-0.79000002,36.200001,-2.71,-2.71,6029,963,6.4000001,10.01,539838,487261,51701,8912,270300,15045,9231,6524,4815,6089,23369,20677,2511,41588,4117,32818,16137,479,10605,5588,8782,1,8781,6205,480,5724,9045,52576,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.561604,millard
31,2007,27,11954,8.3000002,4.8499999,3.8,8.3500004,66.199997,-0.38,51.400002,3.0599999,36.599998,-1.6900001,-1.6900001,6019,1081,8.8299999,15.59,701620,639187,85384,26607,330161,6083,15919,8228,6398,7023,21267,25003,5224,62548,7695,54853,25568,682,11127,10575,14960,17,13648,7205,390,5937,10385,62433,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.872947,millard
32,2012,27,12468,9.5900002,8.2600002,7.4299998,8.9300003,67.599998,-0.62,53.0,2.22,38.400002,-1.6900001,0.74000001,5326,996,8.0,19.77,743656,675511,62436,35814,365818,9340,21269,10376,8501,8893,21465,23988,2501,49189,4441,44748,37270,972,11675,16158,18977,30,18924,8154,1243,6911,11383,68145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.951298,millard
33,2017,27,12805,5.1999998,4.3000002,5.1799998,9.3199997,66.699997,-1.98,52.599998,-1.88,38.5,-1.98,-1.98,5495,991,13.67,14.02,848512,773468,17765,56524,411355,14262,26159,15503,10656,11261,28746,36692,1962,55590,6795,64883,43617,1385,12249,23186,25951,53,26238,11372,363,11009,13003,75044,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.24913,millard
34,2022,27,13330,9.1499996,7.0999999,5.4299998,7.8499999,66.300003,0.62,51.599998,2.04,36.900002,-1.01,1.1799999,5971,1127,16.57,22.129999,1264693,1195054,72329,61941,1081786,16269,28776,16503,15008,14260,38269,44206,4840,88709,8030,81433,73550,1974,12852,29828,35489,93,36379,13934,908,12760,17264,91795,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.347715,millard
35,2002,29,7488,4.6500001,3.3,3.25,19.389999,54.799999,-2.8699999,43.299999,-1.42,32.0,-2.8699999,-2.8699999,8131,273,6.6199999,14.75,121830,104460,6569,245,261,11401,14818,12600,1108,16317,6395,314,275,22305,3706,18599,15368,3940,10605,1366,2067,1,2066,1983,432,1551,6501,17371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.4054956,morgan
36,2007,29,8771,8.3000002,4.8499999,3.8,21.49,57.0,-1.41,45.099998,0.95999998,33.299999,-1.89,-1.89,7559,339,7.8899999,20.99,191563,169009,14391,401,406,35596,21540,15890,1472,18724,9010,1399,336,33686,8049,25636,19163,6532,11127,2411,4736,76,3889,2932,365,2567,7813,22555,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.6102571,morgan
37,2007,33,2124,8.3000002,4.8499999,3.8,13.06,55.400002,-2.8499999,42.0,-0.02,28.700001,-2.9000001,-2.9000001,8544,195,8.4799995,16.23,66076,55426,13423,361,230,5993,670,2530,4,29,2006,1436,506,32738,4047,30578,2831,5,10633,825,2203,67,593,5749,624,4447,2386,10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.1718817,rich
38,2002,35,918152,4.6500001,3.3,3.25,16.15,59.5,-2.76,48.5,-1.74,37.400002,-2.76,-2.76,6723,732,9.29,7.0700002,40294301,35261878,7726,231710,259711,2007047,3658457,2460254,1198202,2667631,2840682,1730797,2051831,10310155,6182636,4127519,4672431,2462773,889038,1320619,2188432,251007,1937425,1445768,399635,1046133,1189500,5032423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.60647,salt lake
39,2007,35,983719,8.3000002,4.8499999,3.8,18.5,61.5,-1.53,50.200001,1.25,38.900002,-2.1199999,-2.1199999,6229,848,11.14,12.85,59384408,52710551,17271,796399,213041,3686842,6136589,4154585,1982005,4048489,4194246,2591076,2525535,15485468,9204117,6281351,6826525,3749870,1226021,1850634,3167231,388862,2778368,1631144,339989,1291155,1390694,6673857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.524459,salt lake
40,2012,35,1064140,9.5900002,8.2600002,7.4299998,17.75,62.599998,-3.03,51.599998,0.44999999,40.599998,-3.26,-3.26,5697,834,8.1499996,19.299999,67246167,59503276,8676,1233739,225486,3115006,7553651,5039997,2513654,4587185,5049610,2852959,2478116,16539162,9082652,7456510,8160464,4687199,1530603,1942662,4286644,714033,3572611,1777834,408499,1369336,1634745,7742891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.232193,salt lake
41,2017,35,1137273,5.1999998,4.3000002,5.1799998,22.309999,62.0,-2.95,51.200001,-2.22,40.400002,-2.95,-2.95,5841,828,10.96,7.3899999,87907426,78179343,21821,1198195,343690,4627698,8249040,4927200,3321841,5641524,5818643,4011149,4199868,22647658,12976847,9670810,11149563,6442193,1711905,2995464,5507927,964750,4543177,2654601,695974,1958628,2107968,9728083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.823552,salt lake
42,2022,35,1186257,9.1499996,7.0999999,5.4299998,19.360001,60.900002,0.57999998,49.799999,1.77,38.799999,-0.77999997,0.87,6367,869,9.29,10.03,111421781,102051735,15548,1654707,855916,6235903,10816577,6934377,4425284,7373163,6914790,4243543,4670431,26028664,13640119,11674113,18448991,9996756,1515839,4244405,7812979,2086443,6797699,3257313,803871,2498648,2436769,10721967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2383442,salt lake
43,2002,37,13662,4.6500001,3.3,3.25,7.0700002,66.900002,-1.88,53.5,-1.2,40.0,-3.0899999,-3.0899999,5381,1203,17.459999,6.0900002,283579,204428,3030,50896,712,11312,16391,2022,14369,4774,8969,3321,503,48783,4512,44271,14444,1300,10588,1588,10063,1394,14945,20381,997,15116,10850,79151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.582102,san juan
44,2007,37,14028,8.3000002,4.8499999,3.8,10.47,67.199997,0.83999997,54.099998,2.8099999,41.099998,-0.61000001,0.94,5144,1194,9.8400002,21.93,480054,382159,9120,182485,1300,16001,3169,2433,5354,4244,9258,3622,9521,62336,3983,58354,16007,1852,11110,4644,21094,2807,18287,32262,1321,19507,11039,97895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.040687,san juan
45,2012,37,15052,9.5900002,8.2600002,7.4299998,7.0799999,68.400002,-3.5999999,55.099998,0.050000001,41.700001,-3.6800001,-3.6800001,4841,1254,6.8299999,12.35,527623,427542,3711,231985,791,14791,5709,3069,7114,5005,10834,4367,3898,65100,3706,61395,12480,2638,11656,9681,36500,4343,28731,24915,1752,25173,12832,100082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12.879422,san juan
46,2017,37,15286,5.1999998,4.3000002,5.1799998,7.7199998,68.300003,-3.45,55.200001,-1.9299999,42.200001,-3.45,-3.45,4665,1131,18.129999,10.31,475307,357803,2485,114912,8693,17082,6492,3870,9453,6805,11487,5281,4775,82414,4541,77873,6425,3759,12230,2259,51719,5744,45975,36841,2322,32486,15848,117504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13.556553,san juan
47,2022,37,14359,9.1499996,7.0999999,5.4299998,9.6499996,66.800003,-0.80000001,53.799999,1.24,40.700001,-1.8,0.57999998,5318,1261,23.200001,16.52,753286,600543,4427,248148,5658,26862,13125,4880,12560,8617,16775,6386,5849,108895,5940,107350,23311,5356,12832,6231,57518,13526,55233,48791,3078,41923,19044,142619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.520168,san juan
48,2007,39,25846,8.3000002,4.8499999,3.8,17.030001,57.900002,-0.15000001,45.0,1.73,32.200001,-1.05,0.57999998,7538,276,21.49,7.8899999,558745,425603,13573,12872,604,40503,46041,31088,20946,4892,35879,11341,71975,113568,15833,97735,14245,6649,8283,3665,28916,5679,19951,7079,827,6252,18598,133142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.2985392,sanpete
49,2012,39,27958,9.5900002,8.2600002,7.4299998,16.75,58.700001,-2.0,45.900002,0.75999999,33.099998,-2.3800001,-2.3800001,7151,212,14.58,7.0799999,637650,489624,82410,12515,1398,29485,49926,39206,27831,6107,31798,9952,31388,134242,12586,121657,24517,8137,8691,4262,42910,12430,30479,10486,2061,8425,22491,148026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.342258,sanpete
50,2017,39,29953,5.1999998,4.3000002,5.1799998,18.129999,59.200001,-2.96,46.400002,-2.8399999,33.700001,-2.96,-2.96,7029,273,10.31,15.11,793244,623293,153918,6819,2855,36129,86335,53133,33201,7845,37405,15161,40026,111466,12748,98719,31452,11594,9119,8682,51880,15368,36512,16960,1385,15575,25808,169951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11.011868,sanpete
51,2022,39,29724,9.1499996,7.0999999,5.4299998,16.57,57.799999,-0.15000001,44.900002,2.1900001,31.9,-1.2,0.73000002,7626,320,22.129999,24.49,1052744,830161,75860,11746,4661,56040,97126,62355,49136,9934,52824,17172,65469,175719,19932,160359,44436,16519,9567,9961,69869,31215,53179,17451,2131,15370,32978,208555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.130507,sanpete
52,2012,41,20662,9.5900002,8.2600002,7.4299998,14.18,59.299999,-2.26,46.700001,0.40000001,34.099998,-2.49,-2.49,6866,223,20.17,15.72,791548,687360,543,235774,5448,16706,47731,17406,30325,22302,59936,77046,7947,97981,13452,84529,33383,15419,10224,7231,41852,851,42928,21334,1103,20231,19498,104188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10.548652,sevier
53,2022,41,22069,9.1499996,7.0999999,5.4299998,12.84,58.200001,-1.64,45.5,1.1,32.700001,-2.3299999,0.43000001,7373,276,11.84,10.69,1361164,1226243,29015,357519,18100,40573,99967,32639,75288,35762,96417,104839,10197,161100,23034,142095,71271,32205,11256,14083,76458,2651,82525,36665,1094,35434,29024,146041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.205923,sevier
54,2002,45,44998,4.6500001,3.3,3.25,6.6199999,64.0,-2.97,50.400002,-1.39,36.900002,-3.23,-3.23,6272,1011,14.75,13.3,918386,670984,6226,9593,3315,38071,134774,100179,34594,8776,57074,11590,15994,123849,14408,109442,183677,27887,9036,134019,27464,1164,32058,25973,5192,18663,32776,247402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.786573,tooele
55,2012,45,59810,9.5900002,8.2600002,7.4299998,8.1499996,66.599998,-1.5,53.0,2.5599999,39.400002,-2.5599999,-2.5599999,5442,1101,19.299999,13.19,1920004,1532555,8459,29757,10704,58319,416213,367389,48824,13046,80029,86633,24305,246742,26855,219887,369547,56614,9947,283565,70674,5378,65295,69745,41006,28739,53894,387449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11.365214,tooele
56,2012,47,34648,9.5900002,8.2600002,7.4299998,6.8299999,62.799999,-4.3699999,48.900002,0.55000001,35.099998,-4.6300001,-4.6300001,6449,623,12.35,8.9300003,2217634,2022628,4688,1002279,117466,95234,17213,15327,1886,107226,81204,93155,19415,281210,20672,260539,69298,46129,9005,11992,50846,1805,49041,34503,751,33752,48890,195005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10.713706,uintah
57,2017,47,35235,5.1999998,4.3000002,5.1799998,10.1,61.400002,-3.04,48.200001,-1.99,34.900002,-3.04,-3.04,6675,563,15.74,17.780001,1712778,1486616,4640,538241,169258,70993,12220,10007,2213,66370,93939,63992,24789,260798,16178,244620,41360,18430,12416,10514,59848,6300,53548,32915,1057,31858,47255,226162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.157471,uintah
58,2022,47,37141,9.1499996,7.0999999,5.4299998,10.69,60.799999,-0.81999999,47.099998,1.34,33.5,-1.8099999,0.62,7146,673,14.97,9.8699999,2916441,2684303,12185,1236499,341611,121241,22778,18348,5097,115500,125138,99230,29901,374730,28418,359290,103522,56586,9913,23356,86162,8220,83306,47828,2133,45405,69198,260123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.818177,uintah
59,2002,49,397190,4.6500001,3.3,3.25,13.3,59.299999,-2.23,46.400002,-2.23,33.5,-2.78,-2.78,7262,501,7.9899998,21.67,9151139,7996969,6006,4161,21351,540350,1136443,665718,470724,324445,778192,104189,943471,1537579,357089,1180490,816235,517178,69330,229727,1185245,544963,640282,240455,38572,201883,358848,1154170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.81776,utah
60,2007,49,469574,8.3000002,4.8499999,3.8,16.23,60.799999,-1.58,47.900002,-1.58,34.900002,-2.1600001,0.41999999,6805,586,14.97,20.219999,14541604,13003623,40700,9580,72199,1292986,1905975,1368591,537384,628421,1123748,142192,1472504,2312303,466981,1845322,1445953,917867,96025,432061,1678048,812126,865922,350573,51804,298769,471333,1537981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.495896,utah
61,2012,49,539970,9.5900002,8.2600002,7.4299998,16.450001,61.799999,-2.0699999,48.900002,-2.0699999,36.099998,-2.54,-2.54,6335,519,6.4499998,19.959999,17154725,15331656,184643,22768,139611,995070,2184811,1534843,649968,745611,1194629,156583,2029517,2764148,529165,2234983,1805409,1247358,84474,473577,2131522,944325,1187197,417168,83822,333346,560166,1823068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12.97158,utah
62,2017,49,607612,5.1999998,4.3000002,5.1799998,19.129999,61.200001,-3.1400001,48.599998,-3.1400001,36.099998,-3.1400001,-3.1400001,6502,543,26.91,11.37,24515530,22348214,30771,27400,210416,2426497,2521175,1627621,893554,1302749,2197972,218154,2822935,3783383,727108,3056275,2782564,1991500,111469,679595,2678600,1089610,1588990,635507,116119,519389,710090,2167316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13.123325,utah
63,2022,49,702434,9.1499996,7.0999999,5.4299998,16.52,60.200001,0.60000002,47.5,0.60000002,34.900002,-0.81,0.88,6942,610,12.89,8.5299997,29057129,26993248,57718,28759,294006,2215508,3379075,2266733,1276667,1276027,2146419,247050,2995736,4264326,752022,3605875,4218345,2683820,115993,1013443,3967306,3050336,2284799,744129,146983,604781,817920,2461515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.91453,utah
64,2012,53,144216,9.5900002,8.2600002,7.4299998,14.48,69.699997,-0.20999999,57.5,0.18000001,45.200001,-1.41,-1.41,4079,1376,9.25,10.47,3807516,3307538,4054,37191,15383,207570,221703,176937,44766,123268,348646,185355,115576,902254,114130,788125,262769,149176,17286,96307,478819,23785,455034,251237,39803,211434,163742,499977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9.3908272,washington
65,2002,57,203045,4.6500001,3.3,3.25,20.709999,56.900002,-2.6700001,45.599998,-1.16,34.299999,-2.6700001,-2.6700001,7500,458,11.86,7.0500002,5533768,4399890,6847,0,22500,249072,1083318,797305,286013,225984,452996,116734,101545,894319,217533,676786,409515,178031,98766,132718,411093,13819,410186,169568,28438,141130,190059,1133878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.492957,weber
66,2007,57,217567,8.3000002,4.8499999,3.8,21.93,59.299999,-1.5,47.400002,0.99000001,35.400002,-1.99,0.33000001,6966,569,11.28,21.84,7914347,6539759,12935,28830,25075,534632,1513923,1263654,250268,317120,583222,158612,185199,1619685,719803,899882,517259,215516,83955,217789,611531,27443,584088,194591,32993,161598,237145,1374588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.024095,weber
67,2012,57,236268,9.5900002,8.2600002,7.4299998,21.440001,60.200001,-2.52,48.599998,0.12,37.0,-2.6300001,-2.6300001,6502,542,14.18,20.17,8388749,6855458,29554,2384,26670,333914,1733778,1289493,444285,358787,567092,147564,117982,1710503,567298,1143205,543658,260831,58156,224671,786201,51241,734960,223179,52796,170384,274193,1533290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.451565,weber
68,2017,57,251474,5.1999998,4.3000002,5.1799998,32.060001,59.299999,-2.2,47.799999,-1.9,36.400002,-2.2,-2.2,6770,531,8.7799997,9.1400003,10619369,8940219,27962,5892,30954,630862,2276760,1737435,539325,648416,707140,204958,130664,1825652,548195,1277457,829111,411289,43372,374449,988459,70064,918395,306062,74340,231722,327326,1679150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.494761,weber
69,2022,57,269561,9.1499996,7.0999999,5.4299998,23.200001,58.799999,-0.43000001,46.900002,1.3099999,34.900002,-1.48,0.72000003,7156,587,16.52,12.89,14306069,12188946,26203,12408,82130,776981,2881997,2257131,718319,658272,937424,246007,228590,2401378,650621,1752815,1357028,609586,65739,496991,1437772,134072,1402540,402843,88084,318577,403154,2106482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.646662,weber
