year,county,countyansi,wheatprod,pop,wheatprice,wheatprice_l1,wheatprice_l2,precipitation,maximum_temperature,palmer_modified_drought_index_pm,average_temperature,palmer_zindex,minimum_temperature,palmer_hydrological_drought_inde,palmer_drought_severity_index_pd,heating_degree_days,cooling_degree_days,precipitation_l1,precipitation_l2,allindustrytotal,privateindustries,agricultureforestryfishingandhun,miningquarryingandoilandgasextra,utilities,construction,manufacturing,durablegoodsmanufacturing,nondurablegoodsmanufacturing,wholesaletrade,retailtrade,transportationandwarehousing,information,financeinsurancerealestaterental,financeandinsurance,realestateandrentalandleasing,professionalandbusinessservices,professionalscientificandtechnic,managementofcompaniesandenterpri,administrativeandsupportandwaste,educationalserviceshealthcareand,educationalservices,healthcareandsocialassistance,artsentertainmentrecreationaccom,artsentertainmentandrecreation,accommodationandfoodservices,otherservicesexceptgovernmentand,governmentandgovernmententerpris,countycode,logwheatprod,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county23,county24,county25,county26,county27,year1,year2,year3,year4,year5
2012,sevier,41,38126,20662,9.5900002,8.2600002,7.4299998,14.18,59.299999,-2.26,46.700001,.40000001,34.099998,-2.49,-2.49,6866,223,20.17,15.72,791548,687360,543,235774,5448,16706,47731,17406,30325,22302,59936,77046,7947,97981,13452,84529,33383,15419,10224,7231,41852,851,42928,21334,1103,20231,19498,104188,21,10.548652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2022,sevier,41,27063,22069,9.1499996,7.0999999,5.4299998,12.84,58.200001,-1.64,45.5,1.1,32.700001,-2.3299999,.43000001,7373,276,11.84,10.69,1361164,1226243,29015,357519,18100,40573,99967,32639,75288,35762,96417,104839,10197,161100,23034,142095,71271,32205,11256,14083,76458,2651,82525,36665,1094,35434,29024,146041,21,10.205923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,tooele,45,48367,44998,4.6500001,3.3,3.25,6.6199999,64,-2.97,50.400002,-1.39,36.900002,-3.23,-3.23,6272,1011,14.75,13.3,918386,670984,6226,9593,3315,38071,134774,100179,34594,8776,57074,11590,15994,123849,14408,109442,183677,27887,9036,134019,27464,1164,32058,25973,5192,18663,32776,247402,23,10.786573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2012,tooele,45,86268,59810,9.5900002,8.2600002,7.4299998,8.1499996,66.599998,-1.5,53,2.5599999,39.400002,-2.5599999,-2.5599999,5442,1101,19.299999,13.19,1920004,1532555,8459,29757,10704,58319,416213,367389,48824,13046,80029,86633,24305,246742,26855,219887,369547,56614,9947,283565,70674,5378,65295,69745,41006,28739,53894,387449,23,11.365214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2012,uintah,47,44968,34648,9.5900002,8.2600002,7.4299998,6.8299999,62.799999,-4.3699999,48.900002,.55000001,35.099998,-4.6300001,-4.6300001,6449,623,12.35,8.9300003,2217634,2022628,4688,1002279,117466,95234,17213,15327,1886,107226,81204,93155,19415,281210,20672,260539,69298,46129,9005,11992,50846,1805,49041,34503,751,33752,48890,195005,24,10.713706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2017,uintah,47,25783,35235,5.1999998,4.3000002,5.1799998,10.1,61.400002,-3.04,48.200001,-1.99,34.900002,-3.04,-3.04,6675,563,15.74,17.780001,1712778,1486616,4640,538241,169258,70993,12220,10007,2213,66370,93939,63992,24789,260798,16178,244620,41360,18430,12416,10514,59848,6300,53548,32915,1057,31858,47255,226162,24,10.157471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2022,uintah,47,49920,37141,9.1499996,7.0999999,5.4299998,10.69,60.799999,-.81999999,47.099998,1.34,33.5,-1.8099999,.62,7146,673,14.97,9.8699999,2916441,2684303,12185,1236499,341611,121241,22778,18348,5097,115500,125138,99230,29901,374730,28418,359290,103522,56586,9913,23356,86162,8220,83306,47828,2133,45405,69198,260123,24,10.818177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2002,utah,49,368708,397190,4.6500001,3.3,3.25,13.3,59.299999,-2.23,46.400002,-2.23,33.5,-2.78,-2.78,7262,501,7.9899998,21.67,9151139,7996969,6006,4161,21351,540350,1136443,665718,470724,324445,778192,104189,943471,1537579,357089,1180490,816235,517178,69330,229727,1185245,544963,640282,240455,38572,201883,358848,1154170,25,12.81776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2007,utah,49,726429,469574,8.3000002,4.8499999,3.8,16.23,60.799999,-1.58,47.900002,-1.58,34.900002,-2.1600001,.41999999,6805,586,14.97,20.219999,14541604,13003623,40700,9580,72199,1292986,1905975,1368591,537384,628421,1123748,142192,1472504,2312303,466981,1845322,1445953,917867,96025,432061,1678048,812126,865922,350573,51804,298769,471333,1537981,25,13.495896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2012,utah,49,430017,539970,9.5900002,8.2600002,7.4299998,16.450001,61.799999,-2.0699999,48.900002,-2.0699999,36.099998,-2.54,-2.54,6335,519,6.4499998,19.959999,17154725,15331656,184643,22768,139611,995070,2184811,1534843,649968,745611,1194629,156583,2029517,2764148,529165,2234983,1805409,1247358,84474,473577,2131522,944325,1187197,417168,83822,333346,560166,1823068,25,12.97158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2017,utah,49,500481,607612,5.1999998,4.3000002,5.1799998,19.129999,61.200001,-3.1400001,48.599998,-3.1400001,36.099998,-3.1400001,-3.1400001,6502,543,26.91,11.37,24515530,22348214,30771,27400,210416,2426497,2521175,1627621,893554,1302749,2197972,218154,2822935,3783383,727108,3056275,2782564,1991500,111469,679595,2678600,1089610,1588990,635507,116119,519389,710090,2167316,25,13.123325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2022,utah,49,406171,702434,9.1499996,7.0999999,5.4299998,16.52,60.200001,.60000002,47.5,.60000002,34.900002,-.81,.88,6942,610,12.89,8.5299997,29057129,26993248,57718,28759,294006,2215508,3379075,2266733,1276667,1276027,2146419,247050,2995736,4264326,752022,3605875,4218345,2683820,115993,1013443,3967306,3050336,2284799,744129,146983,604781,817920,2461515,25,12.91453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2012,washington,53,11978,144216,9.5900002,8.2600002,7.4299998,14.48,69.699997,-.20999999,57.5,.18000001,45.200001,-1.41,-1.41,4079,1376,9.25,10.47,3807516,3307538,4054,37191,15383,207570,221703,176937,44766,123268,348646,185355,115576,902254,114130,788125,262769,149176,17286,96307,478819,23785,455034,251237,39803,211434,163742,499977,27,9.3908272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2002,weber,57,98023,203045,4.6500001,3.3,3.25,20.709999,56.900002,-2.6700001,45.599998,-1.16,34.299999,-2.6700001,-2.6700001,7500,458,11.86,7.0500002,5533768,4399890,6847,0,22500,249072,1083318,797305,286013,225984,452996,116734,101545,894319,217533,676786,409515,178031,98766,132718,411093,13819,410186,169568,28438,141130,190059,1133878,29,11.492957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,weber,57,166724,217567,8.3000002,4.8499999,3.8,21.93,59.299999,-1.5,47.400002,.99000001,35.400002,-1.99,.33000001,6966,569,11.28,21.84,7914347,6539759,12935,28830,25075,534632,1513923,1263654,250268,317120,583222,158612,185199,1619685,719803,899882,517259,215516,83955,217789,611531,27443,584088,194591,32993,161598,237145,1374588,29,12.024095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2012,weber,57,255650,236268,9.5900002,8.2600002,7.4299998,21.440001,60.200001,-2.52,48.599998,.12,37,-2.6300001,-2.6300001,6502,542,14.18,20.17,8388749,6855458,29554,2384,26670,333914,1733778,1289493,444285,358787,567092,147564,117982,1710503,567298,1143205,543658,260831,58156,224671,786201,51241,734960,223179,52796,170384,274193,1533290,29,12.451565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2017,weber,57,98200,251474,5.1999998,4.3000002,5.1799998,32.060001,59.299999,-2.2,47.799999,-1.9,36.400002,-2.2,-2.2,6770,531,8.7799997,9.1400003,10619369,8940219,27962,5892,30954,630862,2276760,1737435,539325,648416,707140,204958,130664,1825652,548195,1277457,829111,411289,43372,374449,988459,70064,918395,306062,74340,231722,327326,1679150,29,11.494761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2022,weber,57,42052,269561,9.1499996,7.0999999,5.4299998,23.200001,58.799999,-.43000001,46.900002,1.3099999,34.900002,-1.48,.72000003,7156,587,16.52,12.89,14306069,12188946,26203,12408,82130,776981,2881997,2257131,718319,658272,937424,246007,228590,2401378,650621,1752815,1357028,609586,65739,496991,1437772,134072,1402540,402843,88084,318577,403154,2106482,29,10.646662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
